text@bvt1982m	@bvt1982m	284.9	286.59	то есть у меня было время когда я /
text@bvt1982m	@bvt1982m	286.59	290.08	где-то в аспирантуре вот не знаю где-то второй третий год обучения /
text@bvt1982m	@bvt1982m	290.12	292.7	у меня было сорок преподавательских часов /
text@bvt1982m	@bvt1982m	292.72	294.3	вот если суммарно посчитать /
text@bvt1982m	@bvt1982m	294.32	299.37	причем там / двенадцать в одной школе / четыре в другой школе / шестн... там еще двенадцать на физтехе /
text@bvt1982m	@bvt1982m	299.45	306.2	это конечно дикое время было / но при этом я понимал что это мне в целом интересно да и так тоже можно там жить зарабатывать /
text@bvt1982m	@bvt1982m	306.25	311.88	потом потом вот появился там фоксфорд и постепенно я даже вот забросил все свои остальные активности
text@bvt1982m	@bvt1982m	311.9	318.44	потому что поначалу было не очень понятно / может ли вот онлайн вот взаимодействие со школьниками заменить вот живое общение
text@bvt1982m	@bvt1982m	318.48	325.96	когда вот я понимаю что вот я хожу в школу там веду занятия и там вот есть двадцать пять детей которых я учу которым я помогаю /
text@bvt1982m	@bvt1982m	325.99	333.3	а в онлайне у меня суммарно за год там больше тысячи детей которые которых я учу и для которых в отличие вот от этих детей /
text@bvt1982m	@bvt1982m	333.33	335.29	которые вот тут вот рядышком да
text@bvt1982m	@bvt1982m	335.3	338.68	он может найти другого преподавателя хорошего который тоже у них будет вести / 
text@bvt1982m	@bvt1982m	338.74	342.57	а там это дети для которых вот они вообще не видели настоящих преподавателей математики
text@bvt1982m	@bvt1982m	342.62	350.76	и если вот выбирать работать здесь или там / то хочется больше работать именно в онлайне потому что есть возможность большему количеству детей дать возможность нормально поучиться //
words@vz1982m	@vz1982m	83.32	83.692	Борис
words@vz1982m	@vz1982m	83.692	84.064	Викторович
words@vz1982m	@vz1982m	84.064	84.436	/
words@vz1982m	@vz1982m	84.436	84.808	можете
words@vz1982m	@vz1982m	84.808	85.18	вы
words@vz1982m	@vz1982m	85.18	85.552	сказать
words@vz1982m	@vz1982m	85.552	85.924	чем
words@vz1982m	@vz1982m	85.924	86.296	для
words@vz1982m	@vz1982m	86.296	86.668	вас
words@vz1982m	@vz1982m	86.668	87.04	математик
words@vz1982m	@vz1982m	87.04	87.412	отличается
words@vz1982m	@vz1982m	87.412	87.784	от
words@vz1982m	@vz1982m	87.784	88.156	нематематика
words@vz1982m	@vz1982m	88.156	88.528	/
words@vz1982m	@vz1982m	88.528	88.9	/
words@vz1982m	@vz1982m	102.759	102.951	а
words@vz1982m	@vz1982m	102.951	103.143	за
words@vz1982m	@vz1982m	103.143	103.335	что
words@vz1982m	@vz1982m	103.335	103.527	вы
words@vz1982m	@vz1982m	103.527	103.719	любите
words@vz1982m	@vz1982m	103.719	103.911	математику
words@vz1982m	@vz1982m	103.911	104.103	/
words@vz1982m	@vz1982m	104.103	104.3	/
words@vz1982m	@vz1982m	205.99	206.32	вот
words@vz1982m	@vz1982m	206.32	206.65	смотрите
words@vz1982m	@vz1982m	206.65	206.98	вот
words@vz1982m	@vz1982m	206.98	207.31	вы
words@vz1982m	@vz1982m	207.31	207.64	закончили
words@vz1982m	@vz1982m	207.64	207.97	физтех
words@vz1982m	@vz1982m	207.97	208.3	/
words@vz1982m	@vz1982m	208.37	208.648	э
words@vz1982m	@vz1982m	208.648	208.926	это
words@vz1982m	@vz1982m	208.926	209.204	считается
words@vz1982m	@vz1982m	209.204	209.482	одним
words@vz1982m	@vz1982m	209.482	209.76	их
words@vz1982m	@vz1982m	209.76	210.038	самых
words@vz1982m	@vz1982m	210.038	210.316	сильных
words@vz1982m	@vz1982m	210.316	210.594	вузов
words@vz1982m	@vz1982m	210.594	210.872	России
words@vz1982m	@vz1982m	210.872	211.15	/
words@vz1982m	@vz1982m	211.15	211.428	и
words@vz1982m	@vz1982m	211.428	211.706	в
words@vz1982m	@vz1982m	211.706	211.984	принципе
words@vz1982m	@vz1982m	211.984	212.262	перспективы
words@vz1982m	@vz1982m	212.262	212.54	после
words@vz1982m	@vz1982m	212.54	212.818	физтеха
words@vz1982m	@vz1982m	212.818	213.096	могут
words@vz1982m	@vz1982m	213.096	213.374	быть
words@vz1982m	@vz1982m	213.374	213.652	совершенно
words@vz1982m	@vz1982m	213.652	213.93	разные
words@vz1982m	@vz1982m	213.93	214.208	да
words@vz1982m	@vz1982m	214.208	214.486	?
words@vz1982m	@vz1982m	214.486	214.764	там
words@vz1982m	@vz1982m	214.764	215.042	/
words@vz1982m	@vz1982m	215.042	215.32	кто-то
words@vz1982m	@vz1982m	215.32	215.598	идут
words@vz1982m	@vz1982m	215.598	215.876	в
words@vz1982m	@vz1982m	215.876	216.154	банки
words@vz1982m	@vz1982m	216.154	216.432	/
words@vz1982m	@vz1982m	216.432	216.71	кто-то
words@vz1982m	@vz1982m	216.71	216.988	в
words@vz1982m	@vz1982m	216.988	217.266	науку
words@vz1982m	@vz1982m	217.266	217.544	/
words@vz1982m	@vz1982m	217.544	217.822	кто-то
words@vz1982m	@vz1982m	217.822	218.1	в
words@vz1982m	@vz1982m	218.1	218.378	программисты
words@vz1982m	@vz1982m	218.378	218.69	/
words@vz1982m	@vz1982m	218.9	219.19	мне
words@vz1982m	@vz1982m	219.19	219.48	интересно
words@vz1982m	@vz1982m	219.48	219.77	/
words@vz1982m	@vz1982m	219.77	220.06	как
words@vz1982m	@vz1982m	220.06	220.35	так
words@vz1982m	@vz1982m	220.35	220.64	получилось
words@vz1982m	@vz1982m	220.64	220.93	что
words@vz1982m	@vz1982m	220.93	221.22	вы
words@vz1982m	@vz1982m	221.22	221.51	выбралии
words@vz1982m	@vz1982m	221.51	221.8	/
words@vz1982m	@vz1982m	221.8	222.09	преподавание
words@vz1982m	@vz1982m	222.09	222.38	математикой
words@vz1982m	@vz1982m	222.38	222.67	и
words@vz1982m	@vz1982m	222.67	222.96	и
words@vz1982m	@vz1982m	222.96	223.25	и
words@vz1982m	@vz1982m	223.25	223.54	пытались
words@vz1982m	@vz1982m	223.54	223.83	ли
words@vz1982m	@vz1982m	223.83	224.12	вы
words@vz1982m	@vz1982m	224.12	224.41	в
words@vz1982m	@vz1982m	224.41	224.7	какие-то
words@vz1982m	@vz1982m	224.7	224.99	/
words@vz1982m	@vz1982m	224.99	225.28	вот
words@vz1982m	@vz1982m	225.28	225.57	/
words@vz1982m	@vz1982m	225.57	225.86	другие
words@vz1982m	@vz1982m	225.86	226.15	/
words@vz1982m	@vz1982m	226.15	226.44	стороны
words@vz1982m	@vz1982m	226.44	226.73	/
words@vz1982m	@vz1982m	226.73	227.02	пойти
words@vz1982m	@vz1982m	227.02	227.31	/
words@vz1982m	@vz1982m	227.31	227.62	/
words@vz1982m	@vz1982m	293.879	293.986	ага
words@vz1982m	@vz1982m	293.986	294.093	/
words@vz1982m	@vz1982m	294.093	294.201	/
words@vz1982m	@vz1982m	325.874	325.963	да
words@vz1982m	@vz1982m	325.963	326.052	/
words@vz1982m	@vz1982m	326.052	326.143	/
words@vz1982m	@vz1982m	334.76	334.926	ага
words@vz1982m	@vz1982m	334.926	335.092	/
words@vz1982m	@vz1982m	335.092	335.26	/
words@vz1982m	@vz1982m	350.61	350.852	ну
words@vz1982m	@vz1982m	350.852	351.094	вот
words@vz1982m	@vz1982m	351.094	351.336	в
words@vz1982m	@vz1982m	351.336	351.578	этом
words@vz1982m	@vz1982m	351.578	351.82	смысле
words@vz1982m	@vz1982m	351.82	352.062	я
